Source,Target,Weight,type
"0114","6115",0.0111111,Undirected
"6935","6991",0.5920635,Undirected
"6935","7868",0.5527778,Undirected
"6935","2879",0.0133333,Undirected
"2711","2472",0.0199405,Undirected
"7732","7849",0.5555556,Undirected
"7732","9710",0.0144928,Undirected
"7732","7369",0.5693862,Undirected
"7732","9410",0.0144928,Undirected
"7732","3345",0.0151515,Undirected
"5826","7768",0.5521886,Undirected
"5826","5137",0.5847579,Undirected
"5826","8431",0.0081301,Undirected
"5826","7764",0.5580808,Undirected
"5826","7763",0.5851852,Undirected
"5826","7524",0.5703704,Undirected
"5826","5829",0.6148148,Undirected
"5826","6716",0.0114943,Undirected
"5241","6516",0.0133333,Undirected
"5241","6652",0.0151515,Undirected
"5241","0371",0.010101,Undirected
"5241","6583",0.0123457,Undirected
"5241","8124",0.0175439,Undirected
"1123","2879",0.0133333,Undirected
"5148","2890",0.0098039,Undirected
"5148","6130",0.0151515,Undirected
"8933","9410",0.015873,Undirected
"7139","6991",0.6142857,Undirected
"7139","6210",0.5503813,Undirected
"7139","7919",0.575,Undirected
"7139","8939",0.5511905,Undirected
"7139","7212",0.5606838,Undirected
"7139","7132",0.5794872,Undirected
"7139","7428",0.6051282,Undirected
"7139","6289",0.5676743,Undirected
"7139","7831",0.6365079,Undirected
"7139","6672",0.0133333,Undirected
"7139","7849",0.7269841,Undirected
"7139","6632",0.6051282,Undirected
"7139","6637",0.6051282,Undirected
"7139","0142",0.5669872,Undirected
"7139","7821",0.557265,Undirected
"7139","6623",0.5666667,Undirected
"6747","9110",0.0166667,Undirected
"0561","6553",0.0151515,Undirected
"5838","7423",0.5888889,Undirected
"5838","0371",0.0095238,Undirected
"5838","6591",0.5972222,Undirected
"5838","2114",0.0138889,Undirected
"5838","7246",0.5568182,Undirected
"6954","0565",0.0111111,Undirected
"6954","7493",0.6767677,Undirected
"6954","7452",0.6565657,Undirected
"6954","6940",0.5707071,Undirected
"6954","0711",0.009009,Undirected
"6954","3342",0.0095238,Undirected
"6954","7281",0.6565657,Undirected
"6954","7373",0.6340327,Undirected
"6954","0741",0.0151515,Undirected
"6954","7369",0.6293706,Undirected
"6954","7413",0.5555555,Undirected
"6954","7429",0.6161616,Undirected
"6954","7439",0.5846154,Undirected
"6954","0751",0.0144928,Undirected
"6954","7269",0.5984849,Undirected
"6954","8429",0.0079365,Undirected
"6954","7267",0.6287879,Undirected
"6954","7246",0.5681818,Undirected
"6954","7372",0.5967366,Undirected
"6954","7368",0.7727273,Undirected
"6954","7284",0.5707071,Undirected
"6954","2919",0.009009,Undirected
"6954","6832",0.5858586,Undirected
"6954","2116",0.0119048,Undirected
"6954","6572",0.5587302,Undirected
"8745","0012",0.0166667,Undirected
"8745","6113",0.0123457,Undirected
