Node,Id,Label,Cluster
"0114","0114","0114",0
"6115","6115","6115",6
"6935","6935","6935",6
"6991","6991","6991",6
"6935","6935","6935",6
"7868","7868","7868",7
"6935","6935","6935",6
"2879","2879","2879",2
"2711","2711","2711",2
"2472","2472","2472",2
"7732","7732","7732",7
"7849","7849","7849",7
"7732","7732","7732",7
"9710","9710","9710",9
"7732","7732","7732",7
"7369","7369","7369",7
"7732","7732","7732",7
"9410","9410","9410",9
"7732","7732","7732",7
"3345","3345","3345",3
"5826","5826","5826",5
"7768","7768","7768",7
"5826","5826","5826",5
"5137","5137","5137",5
"5826","5826","5826",5
"8431","8431","8431",8
"5826","5826","5826",5
"7764","7764","7764",7
"5826","5826","5826",5
"7763","7763","7763",7
"5826","5826","5826",5
"7524","7524","7524",7
"5826","5826","5826",5
"5829","5829","5829",5
"5826","5826","5826",5
"6716","6716","6716",6
"5241","5241","5241",5
"6516","6516","6516",6
"5241","5241","5241",5
"6652","6652","6652",6
"5241","5241","5241",5
"0371","0371","0371",0
"5241","5241","5241",5
"6583","6583","6583",6
"5241","5241","5241",5
"8124","8124","8124",8
"1123","1123","1123",1
"2879","2879","2879",2
"5148","5148","5148",5
"2890","2890","2890",2
"5148","5148","5148",5
"6130","6130","6130",6
"8933","8933","8933",8
"9410","9410","9410",9
"7139","7139","7139",7
"6991","6991","6991",6
"7139","7139","7139",7
"6210","6210","6210",6
"7139","7139","7139",7
"7919","7919","7919",7
"7139","7139","7139",7
"8939","8939","8939",8
"7139","7139","7139",7
"7212","7212","7212",7
"7139","7139","7139",7
"7132","7132","7132",7
"7139","7139","7139",7
"7428","7428","7428",7
"7139","7139","7139",7
"6289","6289","6289",6
"7139","7139","7139",7
"7831","7831","7831",7
"7139","7139","7139",7
"6672","6672","6672",6
"7139","7139","7139",7
"7849","7849","7849",7
"7139","7139","7139",7
"6632","6632","6632",6
"7139","7139","7139",7
"6637","6637","6637",6
"7139","7139","7139",7
"0142","0142","0142",0
"7139","7139","7139",7
"7821","7821","7821",7
"7139","7139","7139",7
"6623","6623","6623",6
"6747","6747","6747",6
"9110","9110","9110",9
"0561","0561","0561",0
"6553","6553","6553",6
"5838","5838","5838",5
"7423","7423","7423",7
"5838","5838","5838",5
"0371","0371","0371",0
"5838","5838","5838",5
"6591","6591","6591",6
"5838","5838","5838",5
"2114","2114","2114",2
"5838","5838","5838",5
"7246","7246","7246",7
"6954","6954","6954",6
"0565","0565","0565",0
"6954","6954","6954",6
"7493","7493","7493",7
"6954","6954","6954",6
"7452","7452","7452",7
"6954","6954","6954",6
"6940","6940","6940",6
"6954","6954","6954",6
"0711","0711","0711",0
"6954","6954","6954",6
"3342","3342","3342",3
"6954","6954","6954",6
"7281","7281","7281",7
"6954","6954","6954",6
"7373","7373","7373",7
"6954","6954","6954",6
"0741","0741","0741",0
"6954","6954","6954",6
"7369","7369","7369",7
"6954","6954","6954",6
"7413","7413","7413",7
"6954","6954","6954",6
"7429","7429","7429",7
"6954","6954","6954",6
"7439","7439","7439",7
"6954","6954","6954",6
"0751","0751","0751",0
"6954","6954","6954",6
"7269","7269","7269",7
"6954","6954","6954",6
"8429","8429","8429",8
"6954","6954","6954",6
"7267","7267","7267",7
"6954","6954","6954",6
"7246","7246","7246",7
"6954","6954","6954",6
"7372","7372","7372",7
"6954","6954","6954",6
"7368","7368","7368",7
"6954","6954","6954",6
"7284","7284","7284",7
"6954","6954","6954",6
"2919","2919","2919",2
"6954","6954","6954",6
"6832","6832","6832",6
"6954","6954","6954",6
"2116","2116","2116",2
"6954","6954","6954",6
"6572","6572","6572",6
"8745","8745","8745",8
"0012","0012","0012",0
"8745","8745","8745",8
"6113","6113","6113",6
"8745","8745","8745",8
"0611","0611","0611",0
"2712","2712","2712",2
"4249","4249","4249",4
"2712","2712","2712",2
"7938","7938","7938",7
"2712","2712","2712",2
"9000","9000","9000",9
"2712","2712","2712",2
"6665","6665","6665",6
"2712","2712","2712",2
"8991","8991","8991",8
"7132","7132","7132",7
"7429","7429","7429",7
"7132","7132","7132",7
"7428","7428","7428",7
"7132","7132","7132",7
"8441","8441","8441",8
"7132","7132","7132",7
"7832","7832","7832",7
"7132","7132","7132",7
"7783","7783","7783",7
"7132","7132","7132",7
"3343","3343","3343",3
"7132","7132","7132",7
"8732","8732","8732",8
"7132","7132","7132",7
"8744","8744","8744",8
"7132","7132","7132",7
"6637","6637","6637",6
"7132","7132","7132",7
"5836","5836","5836",5
"7132","7132","7132",7
"6832","6832","6832",6
"7132","7132","7132",7
"7849","7849","7849",7
"0344","0344","0344",0
"6658","6658","6658",6
"0344","0344","0344",0
"5414","5414","5414",5
"0344","0344","0344",0
"8822","8822","8822",8
"0344","0344","0344",0
"6994","6994","6994",6
"0344","0344","0344",0
"5145","5145","5145",5
"0344","0344","0344",0
"5829","5829","5829",5
"0344","0344","0344",0
"6832","6832","6832",6
"0344","0344","0344",0
"5839","5839","5839",5
"5622","5622","5622",5
"5629","5629","5629",5
"5622","5622","5622",5
"2320","2320","2320",2
"5981","5981","5981",5
"6811","6811","6811",6
"5981","5981","5981",5
"6672","6672","6672",6
"5981","5981","5981",5
"2517","2517","2517",2
"7422","7422","7422",7
